,id,title,company,location,job_type,salary,url
125,0dff4db45a96cd15,Microsoft PowerApps Developer (AI Automation)-AZDOR-PHX AZ–Job Id 511,ProAxis Consulting,Remote,"Full-time
+1",$45 - $50 an hour,https://www.indeed.comhttps://www.indeed.com/company/ProAxis-Consulting/jobs/Developer-0dff4db45a96cd15?fccid=43d61dd4cc6b6bbd&vjs=3
126,7676bdd8cd724c51,AI & Machine Learning Developer,AdMedia.,Remote,Full-time,"$80,000 - $120,000 a year",https://www.indeed.comhttps://www.indeed.com/company/AdMedia./jobs/Machine-Learning-Engineer-7676bdd8cd724c51?fccid=d5ce51d81690c66b&vjs=3
127,51ccdd3396eef9a0,Sr. Data Analyst,Curana Health,"Austin, TX 78701 
(Downtown area)",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=51ccdd3396eef9a0&fccid=d2bea3a8a2794d6c&vjs=3
128,701e0265ad4e961a,"Project Manager I, Biostatistics and Data Science",Wake Forest Baptist Health,"Winston-Salem, NC 27101 
(Goler area)",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=701e0265ad4e961a&fccid=b533ab2927d30db7&vjs=3
129,778419ffae666de3,Machine Learning Engineer,Silent Falcon UAS Technologies,Remote,Internship,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=778419ffae666de3&fccid=7365f0a63cf93492&vjs=3
130,ea84c8e2495caa51,"Senior Software Engineer, AI Storage Infrastructure",NVIDIA,"Santa Clara, CA",Full-time,"$144,000 - $270,250 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=ea84c8e2495caa51&fccid=c267f29f0f85e8b8&vjs=3
131,be3a6c497cd126d2,Office of Transportation Data- Transportation Specialist 2- TRP051- PG L- HPMS Sr. GIS Statistical Analyst,State of Georgia,"Atlanta, GA 30334 
(Downtown area)",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=be3a6c497cd126d2&fccid=dc3368ec85d05f9d&vjs=3
132,91f4aa016f74ec8f,Sr. Statistical Programmer,Redbock,Remote,Contract,$45 - $67 an hour,https://www.indeed.comhttps://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B3HAcvKHjSr9UwdLZIJJ3GcC-XuKHV2fR_7ocgJ-w2OHVPWw0a3jKZIVyQKCEuEpGWfWkNav6J382mESNCmYKewx7h8_CSamYuLUFoWwjq_TMCK3N2N_i5DVW3h7wPRZBtogL3R3hKW41I_UKJtd8tO2QxIsNRoKMC9eoro8sWWEWR7js_fVB-4hoSeaOKxsLsrzMSiuhEefIkTse11SxRT6z369oKH-zBvRMyO-pMFbR8htFw5RJG7QQmyMq3--Bw_n3kYCZRzFavQ7w6oxNsAbBd75fFUzCKspfAGCB5cSkDwBKeC077O29Wtm3XVkiXiC8zcEodoOZ6Fd2bSn2U6AQzf-dXVTGv4T_huuEajvCmkIIyU7CWJoSDa8BOFO5a4ELTiB1-vmLAE7nriljgO2HAVFjDjfKMEZFY4sojcHsWo_482A8I0OUqCigpDpxSCFOYp3QwTPVmC-lUr6CprezL8tmz99fpXQRww2ONcXQ44jbuWiqTzCGok8btfE2hjKnHcyQivLEvwfq3qK3kDzyH6XpVcX6U1VClIv3n0DK1QItdBs2OqtJlhMufGkI=&xkcb=SoCW-_M3NXrrGY2Nqx0HbzkdCdPP&p=12&fvj=1&vjs=3
133,1e196de4d7035144,Manufacturing Systems Data Scientist Sr,Lockheed Martin,"Liverpool, NY 13090",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=1e196de4d7035144&fccid=aeb15e43a6800b9d&vjs=3
134,d4048159c472b118,AI ENGINEER - FULL STACK APPLICATIONS,Market Tree Research,Remote,Full-time,"$47,328 - $148,200 a year",https://www.indeed.comhttps://www.indeed.com/company/Market-Tree-Research/jobs/Full-Stack-Developer-d4048159c472b118?fccid=6d151a9168606cd8&vjs=3
135,17497d3cd0af9711,Machine Learning Engineer WFH,Work from Home,"Nashville, TN 37203",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=17497d3cd0af9711&fccid=1dcb95d25d2c9b38&vjs=3
136,2e24b8a4ceaa9788,Data Labeling Quality Specialist,Scale AI,"St. Louis, MO 63103","Full-time
+1",From $17.25 an hour,https://www.indeed.comhttps://www.indeed.com/company/Scale-AI/jobs/Data-Specialist-2e24b8a4ceaa9788?fccid=4eacfef094c1e91a&vjs=3
137,cf313aea34f16ddf,Research Statistician (Health),US Veterans Health Administration,"Cleveland, OH 44106 
(University District area)",Full-time,"$102,884 - $133,747 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=cf313aea34f16ddf&fccid=02c3642d72b15da7&vjs=3
138,e3cb78dca24d1649,Senior Data Forecaster,QinetiQ US,"Washington, DC",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=e3cb78dca24d1649&fccid=dd616958bd9ddc12&vjs=3
139,65318fa4b786754b,"Director, Data Science",Western Digital,"Milpitas, CA 95035",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=65318fa4b786754b&fccid=b11a318411580b5b&vjs=3
